"id","post_id","parent_comment_id","comment","sender_id","user_id","status","action","type","created_at","updated_at"
"1",NULL,NULL,NULL,"4","7","1","Followed","Following","2019-08-26 09:43:56","2019-08-26 18:20:28"
"2",NULL,NULL,NULL,"1","4","1","Followed","Following","2019-08-26 09:48:21","2019-08-26 13:05:42"
"3",NULL,NULL,NULL,"3","45","0","Followed","Following","2019-08-26 09:51:39","2019-08-26 09:51:39"
"5",NULL,NULL,NULL,"1","4","1","Followed","Following","2019-08-26 11:32:46","2019-08-26 13:05:42"
"7","278",NULL,"Hey bro!","1","4","1","Commented","Post","2019-08-26 15:13:17","2019-08-26 15:13:25"
"8","360",NULL,"This is an interesting write-up. I have a question though, in the quest to create solutions that saves time for people, you end up spending quite a fair of time. Also, sometimes it might not really be worth it. What metric can be used to determine how to balance this appropriately?","3","7","1","Commented","Post","2019-08-26 18:10:20","2019-08-26 18:20:28"
"9","360",NULL,"A nice write up","4","7","1","Commented","Post","2019-08-26 18:13:14","2019-08-26 18:20:28"
"10",NULL,NULL,NULL,"3","363","0","Followed","Following","2019-08-26 18:31:56","2019-08-26 18:31:56"
"11","143",NULL,"I have learnt how to publish an article and How to use Doc and to create a blog","2191","2191","0","Commented","Post","2019-08-26 18:44:23","2019-08-26 18:44:23"
"12","371",NULL,"That's awesome","9","3","1","Commented","Post","2019-08-26 19:15:45","2019-08-27 11:15:03"
"13",NULL,NULL,NULL,"834","856","0","Followed","Following","2019-08-26 19:32:35","2019-08-26 19:32:35"
"14",NULL,NULL,NULL,"2240","59","0","Followed","Following","2019-08-26 20:11:53","2019-08-26 20:11:53"
"15","371",NULL,"wait, this works?","6","3","1","Commented","Post","2019-08-26 21:09:39","2019-08-27 11:15:03"
"16","371",NULL,"uhm... not really...","6","3","1","Commented","Post","2019-08-26 21:09:58","2019-08-27 11:15:03"
"17",NULL,NULL,NULL,"492","6","1","Followed","Following","2019-08-26 21:15:25","2019-08-26 23:39:57"
"18",NULL,NULL,NULL,"2245","6","1","Followed","Following","2019-08-26 21:15:44","2019-08-26 23:39:57"
"19",NULL,NULL,NULL,"1051","6","1","Followed","Following","2019-08-26 21:16:39","2019-08-26 23:39:57"
"20",NULL,NULL,NULL,"710","6","1","Followed","Following","2019-08-26 21:19:29","2019-08-26 23:39:57"
"21",NULL,NULL,NULL,"1043","11","0","Followed","Following","2019-08-26 21:22:22","2019-08-26 21:22:22"
"22",NULL,NULL,NULL,"868","6","1","Followed","Following","2019-08-26 21:24:41","2019-08-26 23:39:57"
"23",NULL,NULL,NULL,"612","6","1","Followed","Following","2019-08-26 21:28:59","2019-08-26 23:39:57"
"24",NULL,NULL,NULL,"847","6","1","Followed","Following","2019-08-26 21:29:07","2019-08-26 23:39:57"
"25",NULL,NULL,NULL,"1731","6","1","Followed","Following","2019-08-26 21:33:34","2019-08-26 23:39:57"
"26","371",NULL,"But my posts are nowhere to be found. Excellent work boss... Kudos!!","489","3","1","Commented","Post","2019-08-26 21:41:27","2019-08-27 11:15:03"
"27",NULL,NULL,NULL,"242","6","1","Followed","Following","2019-08-26 21:47:23","2019-08-26 23:39:57"
"28",NULL,NULL,NULL,"1864","1147","0","Followed","Following","2019-08-26 21:56:48","2019-08-26 21:56:48"
"29",NULL,NULL,NULL,"1864","118","0","Followed","Following","2019-08-26 21:57:56","2019-08-26 21:57:56"
"30",NULL,NULL,NULL,"439","2218","0","Followed","Following","2019-08-26 22:50:51","2019-08-26 22:50:51"
"31",NULL,NULL,NULL,"439","2218","0","Followed","Following","2019-08-26 22:50:55","2019-08-26 22:50:55"
"32",NULL,NULL,NULL,"192","6","1","Followed","Following","2019-08-26 23:36:03","2019-08-26 23:39:57"
"33",NULL,NULL,NULL,"550","6","1","Followed","Following","2019-08-26 23:54:31","2019-08-27 09:23:47"
"34","371",NULL,"Yay, a comment section too. Nice job","550","3","1","Commented","Post","2019-08-26 23:55:17","2019-08-27 11:15:03"
"35",NULL,NULL,NULL,"1801","922","0","Followed","Following","2019-08-27 00:23:49","2019-08-27 00:23:49"
"36",NULL,NULL,NULL,"1340","738","0","Followed","Following","2019-08-27 01:21:36","2019-08-27 01:21:36"
"37",NULL,NULL,NULL,"1340","101","0","Followed","Following","2019-08-27 01:21:54","2019-08-27 01:21:54"
"38","439",NULL,"Can't wait...wish notification is up and running by then. Keeping tab.","1340","6","1","Commented","Post","2019-08-27 01:23:31","2019-08-27 09:23:47"
"39",NULL,NULL,NULL,"1340","6","1","Followed","Following","2019-08-27 01:24:28","2019-08-27 09:23:47"
"40",NULL,NULL,NULL,"698","6","1","Followed","Following","2019-08-27 08:26:12","2019-08-27 09:23:47"
"41",NULL,NULL,NULL,"1318","6","0","Followed","Following","2019-08-27 09:34:32","2019-08-27 09:34:32"
"42",NULL,NULL,NULL,"1825","6","0","Followed","Following","2019-08-27 09:35:21","2019-08-27 09:35:21"
"43",NULL,NULL,NULL,"1239","6","0","Followed","Following","2019-08-27 09:36:08","2019-08-27 09:36:08"
"44",NULL,NULL,NULL,"1098","6","0","Followed","Following","2019-08-27 09:36:41","2019-08-27 09:36:41"
"45",NULL,NULL,NULL,"1010","6","0","Followed","Following","2019-08-27 09:36:51","2019-08-27 09:36:51"
"46",NULL,NULL,NULL,"669","458","0","Followed","Following","2019-08-27 09:36:59","2019-08-27 09:36:59"
"47",NULL,NULL,NULL,"669","458","0","Followed","Following","2019-08-27 09:37:02","2019-08-27 09:37:02"
"48",NULL,NULL,NULL,"47","6","0","Followed","Following","2019-08-27 09:37:07","2019-08-27 09:37:07"
"49",NULL,NULL,NULL,"669","458","0","Followed","Following","2019-08-27 09:37:09","2019-08-27 09:37:09"
"50",NULL,NULL,NULL,"377","6","0","Followed","Following","2019-08-27 09:37:45","2019-08-27 09:37:45"
"51",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:18","2019-08-27 09:38:18"
"52",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:26","2019-08-27 09:38:26"
"53",NULL,NULL,NULL,"620","6","0","Followed","Following","2019-08-27 09:38:27","2019-08-27 09:38:27"
"54",NULL,NULL,NULL,"129","6","0","Followed","Following","2019-08-27 09:38:30","2019-08-27 09:38:30"
"55",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:31","2019-08-27 09:38:31"
"56",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:32","2019-08-27 09:38:32"
"57",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:34","2019-08-27 09:38:34"
"58",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:34","2019-08-27 09:38:34"
"59",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:36","2019-08-27 09:38:36"
"60",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:37","2019-08-27 09:38:37"
"61",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:41","2019-08-27 09:38:41"
"62",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:42","2019-08-27 09:38:42"
"63",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:43","2019-08-27 09:38:43"
"64",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:44","2019-08-27 09:38:44"
"65",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:46","2019-08-27 09:38:46"
"66",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:46","2019-08-27 09:38:46"
"67",NULL,NULL,NULL,"2271","6","0","Followed","Following","2019-08-27 09:38:48","2019-08-27 09:38:48"
"68",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:49","2019-08-27 09:38:49"
"69",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:50","2019-08-27 09:38:50"
"70",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:51","2019-08-27 09:38:51"
"71",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:53","2019-08-27 09:38:53"
"72",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:55","2019-08-27 09:38:55"
"73",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:39:02","2019-08-27 09:39:02"
"74",NULL,NULL,NULL,"2271","6","0","Followed","Following","2019-08-27 09:39:10","2019-08-27 09:39:10"
"75",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:39:13","2019-08-27 09:39:13"
"76",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:39:14","2019-08-27 09:39:14"
"77",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:39:47","2019-08-27 09:39:47"
"78",NULL,NULL,NULL,"1276","6","0","Followed","Following","2019-08-27 09:40:59","2019-08-27 09:40:59"
"79",NULL,NULL,NULL,"1886","6","0","Followed","Following","2019-08-27 09:41:59","2019-08-27 09:41:59"
"80","371",NULL,"Good to see the comment section","352","3","1","Commented","Post","2019-08-27 09:43:48","2019-08-27 11:15:03"
"81",NULL,NULL,NULL,"326","6","0","Followed","Following","2019-08-27 09:44:26","2019-08-27 09:44:26"
"82",NULL,NULL,NULL,"432","6","0","Followed","Following","2019-08-27 09:44:51","2019-08-27 09:44:51"
"83",NULL,NULL,NULL,"1030","6","0","Followed","Following","2019-08-27 09:45:05","2019-08-27 09:45:05"
"84",NULL,NULL,NULL,"410","6","0","Followed","Following","2019-08-27 09:46:10","2019-08-27 09:46:10"
"85",NULL,NULL,NULL,"447","6","0","Followed","Following","2019-08-27 09:48:13","2019-08-27 09:48:13"
"86",NULL,NULL,NULL,"1255","6","0","Followed","Following","2019-08-27 09:49:51","2019-08-27 09:49:51"
"87",NULL,NULL,NULL,"619","6","0","Followed","Following","2019-08-27 09:53:04","2019-08-27 09:53:04"
"88",NULL,NULL,NULL,"630","6","0","Followed","Following","2019-08-27 09:54:03","2019-08-27 09:54:03"
"89",NULL,NULL,NULL,"1947","6","0","Followed","Following","2019-08-27 09:55:02","2019-08-27 09:55:02"
"90",NULL,NULL,NULL,"1947","6","0","Followed","Following","2019-08-27 09:55:07","2019-08-27 09:55:07"
"91",NULL,NULL,NULL,"1947","6","0","Followed","Following","2019-08-27 09:55:09","2019-08-27 09:55:09"
"92",NULL,NULL,NULL,"1947","6","0","Followed","Following","2019-08-27 09:55:16","2019-08-27 09:55:16"
"93",NULL,NULL,NULL,"1947","6","0","Followed","Following","2019-08-27 09:55:20","2019-08-27 09:55:20"
"94",NULL,NULL,NULL,"1947","6","0","Followed","Following","2019-08-27 09:55:21","2019-08-27 09:55:21"
"95",NULL,NULL,NULL,"1947","6","0","Followed","Following","2019-08-27 09:55:22","2019-08-27 09:55:22"
"96",NULL,NULL,NULL,"175","6","0","Followed","Following","2019-08-27 09:56:31","2019-08-27 09:56:31"
"97",NULL,NULL,NULL,"673","6","0","Followed","Following","2019-08-27 09:56:45","2019-08-27 09:56:45"
"98",NULL,NULL,NULL,"904","6","0","Followed","Following","2019-08-27 09:57:06","2019-08-27 09:57:06"
"99",NULL,NULL,NULL,"904","6","0","Followed","Following","2019-08-27 09:57:29","2019-08-27 09:57:29"
"100",NULL,NULL,NULL,"1862","6","0","Followed","Following","2019-08-27 10:01:15","2019-08-27 10:01:15"
"101",NULL,NULL,NULL,"1805","6","0","Followed","Following","2019-08-27 10:01:48","2019-08-27 10:01:48"
"102",NULL,NULL,NULL,"380","6","0","Followed","Following","2019-08-27 10:08:14","2019-08-27 10:08:14"
"103",NULL,NULL,NULL,"718","6","0","Followed","Following","2019-08-27 10:08:44","2019-08-27 10:08:44"
"104",NULL,NULL,NULL,"265","6","0","Followed","Following","2019-08-27 10:10:34","2019-08-27 10:10:34"
"105",NULL,NULL,NULL,"1985","6","0","Followed","Following","2019-08-27 10:11:19","2019-08-27 10:11:19"
"106",NULL,NULL,NULL,"902","6","0","Followed","Following","2019-08-27 10:13:00","2019-08-27 10:13:00"
"107",NULL,NULL,NULL,"1591","6","0","Followed","Following","2019-08-27 10:13:12","2019-08-27 10:13:12"
"108",NULL,NULL,NULL,"711","6","0","Followed","Following","2019-08-27 10:19:00","2019-08-27 10:19:00"
"109",NULL,NULL,NULL,"1550","6","0","Followed","Following","2019-08-27 10:20:28","2019-08-27 10:20:28"
"110",NULL,NULL,NULL,"895","6","0","Followed","Following","2019-08-27 10:20:42","2019-08-27 10:20:42"
"111",NULL,NULL,NULL,"1017","6","0","Followed","Following","2019-08-27 10:23:39","2019-08-27 10:23:39"
"112",NULL,NULL,NULL,"867","6","0","Followed","Following","2019-08-27 10:42:24","2019-08-27 10:42:24"
"113",NULL,NULL,NULL,"2277","6","0","Followed","Following","2019-08-27 10:43:16","2019-08-27 10:43:16"
"114",NULL,NULL,NULL,"1212","6","0","Followed","Following","2019-08-27 10:43:43","2019-08-27 10:43:43"
"115",NULL,NULL,NULL,"475","6","0","Followed","Following","2019-08-27 10:49:01","2019-08-27 10:49:01"
"116",NULL,NULL,NULL,"475","6","0","Followed","Following","2019-08-27 10:49:17","2019-08-27 10:49:17"
"117",NULL,NULL,NULL,"327","6","0","Followed","Following","2019-08-27 10:52:02","2019-08-27 10:52:02"
"118",NULL,NULL,NULL,"955","6","0","Followed","Following","2019-08-27 10:53:37","2019-08-27 10:53:37"
"119","375",NULL,"Great","352","3","1","Commented","Post","2019-08-27 10:54:36","2019-08-27 11:15:03"
"120",NULL,NULL,NULL,"352","6","0","Followed","Following","2019-08-27 11:00:20","2019-08-27 11:00:20"
"121",NULL,NULL,NULL,"352","7","0","Followed","Following","2019-08-27 11:03:04","2019-08-27 11:03:04"
"122",NULL,NULL,NULL,"1836","6","0","Followed","Following","2019-08-27 11:15:20","2019-08-27 11:15:20"
"123",NULL,NULL,NULL,"653","6","0","Followed","Following","2019-08-27 11:16:03","2019-08-27 11:16:03"
"124",NULL,NULL,NULL,"329","6","0","Followed","Following","2019-08-27 11:16:09","2019-08-27 11:16:09"
"125",NULL,NULL,NULL,"891","6","0","Followed","Following","2019-08-27 11:40:50","2019-08-27 11:40:50"
"126",NULL,NULL,NULL,"945","6","0","Followed","Following","2019-08-27 11:52:32","2019-08-27 11:52:32"
"127",NULL,NULL,NULL,"168","6","0","Followed","Following","2019-08-27 11:57:14","2019-08-27 11:57:14"
"128",NULL,NULL,NULL,"143","6","0","Followed","Following","2019-08-27 12:48:38","2019-08-27 12:48:38"
"129",NULL,NULL,NULL,"361","6","0","Followed","Following","2019-08-27 13:03:21","2019-08-27 13:03:21"
"130",NULL,NULL,NULL,"361","6","0","Followed","Following","2019-08-27 13:03:37","2019-08-27 13:03:37"
"131",NULL,NULL,NULL,"2287","6","0","Followed","Following","2019-08-27 13:22:03","2019-08-27 13:22:03"
"132","439",NULL,"Congrats","4","6","0","Commented","Post","2019-08-27 13:23:55","2019-08-27 13:23:55"
"133",NULL,NULL,NULL,"47","535","0","Followed","Following","2019-08-27 13:30:54","2019-08-27 13:30:54"
"134","439",NULL,"Congratulations are in order. It's great to be working with you on these","3","6","0","Commented","Post","2019-08-27 13:31:32","2019-08-27 13:31:32"
"135",NULL,NULL,NULL,"1101","326","0","Followed","Following","2019-08-27 14:00:37","2019-08-27 14:00:37"
"136",NULL,NULL,NULL,"1199","6","0","Followed","Following","2019-08-27 14:09:29","2019-08-27 14:09:29"
"137",NULL,NULL,NULL,"1439","1047","0","Followed","Following","2019-08-27 14:10:26","2019-08-27 14:10:26"
"138",NULL,NULL,NULL,"1439","1926","0","Followed","Following","2019-08-27 14:11:49","2019-08-27 14:11:49"
"139",NULL,NULL,NULL,"2282","6","0","Followed","Following","2019-08-27 15:15:32","2019-08-27 15:15:32"
"140",NULL,NULL,NULL,"2282","6","0","Followed","Following","2019-08-27 15:15:43","2019-08-27 15:15:43"
"141",NULL,NULL,NULL,"2228","326","0","Followed","Following","2019-08-27 15:55:09","2019-08-27 15:55:09"
"142",NULL,NULL,NULL,"24","7","0","Followed","Following","2019-08-27 15:56:04","2019-08-27 15:56:04"
"143",NULL,NULL,NULL,"916","6","0","Followed","Following","2019-08-27 16:19:34","2019-08-27 16:19:34"
"144","360","8","yh","4","3","1","Replied","Post","2019-08-27 16:32:51","2019-08-29 13:40:03"
"145",NULL,NULL,NULL,"4","29","1","Followed","Following","2019-08-28 18:21:17","2019-08-28 18:25:11"
"146",NULL,NULL,NULL,"29","4","1","Followed","Following","2019-08-28 18:23:09","2019-09-05 17:20:09"
"148","986",NULL,NULL,"4","2","1","Like","Reaction","2019-08-30 11:26:54","2019-08-31 19:01:30"
"149","986",NULL,NULL,"4","2","1","Love","Reaction","2019-08-30 11:27:06","2019-08-31 19:01:30"
"150","985",NULL,NULL,"4","2","1","Love","Reaction","2019-08-30 11:27:08","2019-08-31 19:01:30"
"151","985",NULL,NULL,"1","2","1","Love","Reaction","2019-08-30 11:29:21","2019-08-31 19:01:30"
"152","992",NULL,NULL,"2","2","1","Like","Reaction","2019-08-31 13:04:31","2019-08-31 19:01:30"
"154","355",NULL,NULL,"1","7","0","Like","Reaction","2019-08-31 18:21:21","2019-08-31 18:21:21"
"155","353",NULL,NULL,"1","7","0","Love","Reaction","2019-08-31 18:21:24","2019-08-31 18:21:24"
"156","355","154","Nice","1","1","1","Replied","Post","2019-08-31 18:21:51","2019-09-07 15:44:46"
"157","996",NULL,NULL,"1","1","1","Like","Reaction","2019-08-31 18:44:12","2019-09-07 15:44:46"
"158","992",NULL,NULL,"9","2","1","Love","Reaction","2019-08-31 18:56:21","2019-08-31 19:01:30"
"159","992",NULL,NULL,"9","2","1","Love","Reaction","2019-08-31 18:56:22","2019-08-31 19:01:30"
"160","992",NULL,NULL,"9","2","1","Like","Reaction","2019-08-31 18:56:22","2019-08-31 19:01:30"
"161","992",NULL,"Comments just spilled out here, nobody typed","9","2","1","Commented","Post","2019-08-31 18:56:53","2019-08-31 19:01:30"
"162","992",NULL,NULL,"2","2","1","Love","Reaction","2019-08-31 19:02:26","2019-09-02 05:42:11"
"163","992",NULL,"that true","2","2","1","Commented","Post","2019-08-31 19:03:03","2019-09-02 05:42:11"
"164",NULL,NULL,NULL,"34","2","1","Followed","Following","2019-08-31 21:06:55","2019-09-02 05:42:11"
"171","993",NULL,NULL,"34","2","1","Love","Reaction","2019-09-01 14:33:20","2019-09-02 05:42:11"
"172","993",NULL,NULL,"34","2","1","Like","Reaction","2019-09-01 14:33:23","2019-09-02 05:42:11"
"173","996",NULL,NULL,"3","1","1","Like","Reaction","2019-09-01 18:29:55","2019-09-07 15:44:46"
"174","996",NULL,NULL,"3","1","1","Love","Reaction","2019-09-01 18:29:57","2019-09-07 15:44:46"
"175","998",NULL,NULL,"9","2","1","Like","Reaction","2019-09-02 16:56:51","2019-09-02 17:38:17"
"177","998",NULL,NULL,"3","2","1","Love","Reaction","2019-09-03 03:25:12","2019-09-04 14:29:22"
"178","995",NULL,NULL,"3","1","1","Love","Reaction","2019-09-03 03:25:57","2019-09-07 15:44:46"
"179","998",NULL,"i wish there was smthn better","2","2","1","Commented","Post","2019-09-04 14:37:44","2019-09-07 15:44:55"
"180","999",NULL,"Good","4","4","1","Commented","Post","2019-09-05 11:24:34","2019-09-05 17:20:09"
"181","998",NULL,"Test","3","2","1","Commented","Post","2019-09-05 12:37:26","2019-09-07 15:44:55"
"182","998",NULL,"Another test","3","2","1","Commented","Post","2019-09-05 12:37:34","2019-09-07 15:44:55"
"183","993",NULL,"Hi","2","2","1","Commented","Post","2019-09-05 13:50:42","2019-09-07 15:44:55"
"184","998",NULL,"all set","2","2","1","Commented","Post","2019-09-05 17:16:13","2019-09-07 15:44:55"
"185","1007",NULL,"test","3","3","0","Commented","Post","2019-09-06 19:40:19","2019-09-06 19:40:19"
"186","1007",NULL,"testt","3","3","0","Commented","Post","2019-09-06 19:40:24","2019-09-06 19:40:24"
"187","1007","186","test","3","3","0","Replied","Post","2019-09-06 19:40:29","2019-09-06 19:40:29"
"188","1007","186","testr","3","3","0","Replied","Post","2019-09-06 19:40:38","2019-09-06 19:40:38"
"189","998","182","Oya tester","4","3","0","Replied","Post","2019-09-07 10:33:29","2019-09-07 10:33:29"
"190","1002",NULL,"just some funny comment","22","22","0","Commented","Post","2019-09-07 10:43:20","2019-09-07 10:43:20"
"191","1002","190","I just replied you","22","22","0","Replied","Post","2019-09-07 10:43:38","2019-09-07 10:43:38"
"193","993",NULL,NULL,"4","2","1","Like","Reaction","2019-09-07 15:30:13","2019-09-07 15:44:55"
"194","983",NULL,NULL,"4","2","1","Like","Reaction","2019-09-07 15:30:15","2019-09-07 15:44:55"
"195","983",NULL,NULL,"4","2","1","Love","Reaction","2019-09-07 15:30:16","2019-09-07 15:44:55"
"197","985",NULL,NULL,"2","2","1","Like","Reaction","2019-09-07 15:30:25","2019-09-07 15:44:55"
"198","985",NULL,NULL,"2","2","1","Love","Reaction","2019-09-07 15:30:26","2019-09-07 15:44:55"
"199","999",NULL,NULL,"1","4","1","Like","Reaction","2019-09-07 15:44:58","2019-09-07 17:48:04"
"202","1007",NULL,NULL,"3","3","0","Like","Reaction","2019-09-07 15:45:08","2019-09-07 15:45:08"
"216","998",NULL,NULL,"2","2","0","Like","Reaction","2019-09-07 17:33:27","2019-09-07 17:33:27"
"219","999",NULL,NULL,"4","4","1","Like","Reaction","2019-09-07 18:11:26","2019-09-19 13:18:38"
"222","998",NULL,NULL,"4","2","0","Love","Reaction","2019-09-07 18:11:41","2019-09-07 18:11:41"
